,sentiment,text
2586,neutral,if you would love to see more girl be inspire about become pilot rt our free woaw event march 28 at abq
2587,negative,your system be down and after be on hold for over 20 min mia tell me she be go to charge a flight book problem fee customer service
2588,neutral,i take a screenshot and email it to myself let u dm and figure this out
2589,negative,she will not be at my this be an irreplaceable milestone there be no reflight book problem how can we be repaid for this
2590,negative,brother luggage be lose on copa airline flight 635 he be compete sunday for the 2015 panamerican cross country cup please help
2591,positive,will you fill it yes they will thanks bringyourown
2592,negative,on last flight of the day no less i be now drive 4 hour to thru a snowstorm thx to your team lack of customer empathy
2593,negative,brother baggage be lose on route to 2015 panamerican cross country cup championship in columbia his be sunday please help
2594,negative,yes there be plenty of seat available so why do vicky thomas refuse to give one to a million mile flyer
2595,negative,my flight yesterday be delayed because of mechanical issue rotten luck to get 2 plane in a row with issue
2596,negative,that would have be nice earlier today too late flight now i hope
2597,negative,wait 12 min and counting to get through to global servicessomething go on
2598,negative,no still try to get home
2599,negative,also your atgate monitor show 23 empty seat
2600,negative,that be not what your reservation desk just told me they say there be plenty of seat
2601,negative,very exasperate I be have a difficult time with flight book problem a the error message say you be undergo maintenance really now
2602,positive,this flight attendant be extremely helpful to a woman who have a hard time walk very touch
2603,neutral,please call me at 3107952210
2604,negative,lax29108m make it happen please else on a cruise with no luggage tomorrow
2605,negative,no i do not make connection your stellar employee vicky thomas refuse to board me even though 23 empty seat on plane
2606,negative,of course that be the start of my 3 wks ago it go far downhill on my return
2607,negative,no u do not
2608,negative,how much longer will it take it a guitar not a royal commission
2609,neutral,i have a voucher that expires next week can i get an extension on it before it expires
2610,negative,sure but 8 different text change time gate especially location the entire concourse that just seem a little off
2611,neutral,you know what would be awesome u with complimentary entertainment on your flight especially those longer than 6 hour
2612,positive,dm sent thanks
2613,negative,to late flight now but in flight train staff well to handle situation and ground staff in customer service
2614,neutral,san diego to chicago leave at 615 be tomorrow
2615,negative,stuck in this airport 12 hour in standby cuz the pilot show up late flight in pjs i miss my connectin flight pjs i tell u nyfw
2616,positive,brian at sfo customer service deserves a raise give me extra meal voucher and a good joke to cheer me up after flight delay
2617,positive,thank you have a nice even
2618,negative,if i wait I will lose the flight so frustrate
2619,negative,it most be not
2620,neutral,it available online i just cannot figure out how to do it to guarantee same flight
2621,negative,try to book flight wmiles be on hold for 50m before i give up need to get 6 on same flight use two diff and pay 4 1tix
2622,positive,no thanks take care of it when i call
2623,negative,that be the tweet u choose to answer to tell me you be not liable youretheworst neveragain
2624,negative,y not you be the reason we be in houston and not tonight it take the plane an hour to take off no explanation or sorry
2625,positive,awesome thank you very much for the help
2626,neutral,you need to follow me so i can dm you to give you the info
2627,negative,agent argue about check bag announcement look for room until seat 20 give up and walk back to seat 7unnecessary
2628,neutral,yea i saw that I be move to china and have 56 bag will pay but want to make sure it be ok to bring that many
2629,negative,you should change your name to united incompetence no flight until monday have to take a 7 hour drive now to get to my flight
2630,negative,not even mention how rude the customer service be to u a a business owner I have be mortify if my employee act a
2631,positive,kept me watch the safety video for the first time in forever nice job
2632,negative,have time to respond to everyone el complaint but not you just lose a customer
2633,positive,thanks to lea in the chicago for her help in switch our cancel flight flight
2634,negative,most make it sound like you have no idea which be not how i want my flight to be please use fact thanks
2635,negative,tell me something i do not knownot keepingit100 weaktea
2636,negative,the wait time for a baggage question be 60 minute that be crazy be there a to the amount of bag i can bring internationally
2637,negative,we do not like to hear this be there anything we can help with thanks ey another empty offer for help
2638,negative,I be try to upgrade my seat to first class but the wait time on the phone be 40 minute can you help
2639,negative,ua7985 be a coshared flight w unable to check in 24 hr prior
2640,negative,never fly with you guy ever again the customer service be piss poor at best
2641,negative,when a 2 hour flight turn into a 3emoticonsmiley0 ordealsigh
2642,negative,where be our luggage with a group and over 20 luggage be lose
2643,negative,assistance with what the attitude of your staff no matter which airport we be at
2644,neutral,sure follow for a sec and i will
2645,positive,thank you so much for your help with my birthday ticket be confirm emoticonsmiley
2646,neutral,airline on flight ua 1669 need to make ua 3781 can u hold the plane for u
2647,positive,thank you
2648,negative,when will i hear guitar be damage in i use my guitar to earn a living get your act together
2649,negative,i be on hold for over 20 minute and be talk to one of your employee i ask him for name or id and he hung up in my face
2650,negative,i hope so but I have receive no help so far I have be on hold for more than an hour can someone speak to me
2651,negative,try other flight option a per weblink non available for next 2 day frustrate notgoodenough poorservice
2652,negative,you ask me to dm then ignore them please assist in change to another flight today 21 feb fra to avoid iad
2653,negative,how do you stay in business with such poor service poorservice notgoodenough
2654,neutral,will the airline refuse my canadian passport with less than 6 month validity go to u
2655,neutral,what time should i arrive at the airport for my 615 be domestic flight out of san diego
2656,neutral,767 tax in at ord avgeek
2657,negative,i sent a dm re an exist reservation but no one have respond
2658,neutral,i be go to a service desk now to see what the option be
2659,negative,i miss the continental day
2660,negative,or how about next time my bag be underweight you guy credit me 200 or how about i take my business to an airline that care
2661,negative,it be not full i have plenty of time to go to the gate and check with my status i should have gotten on
2662,negative,then why do your staff refuse to let me on the earlier flight cite my have checked a bag
2663,negative,thanks for nothing next time I will bring a whole extra suitcase for my 1 extra pound that make sense right
2664,negative,first you lose all my bag now you cancel flight my flight home 30 min wait to talk to somebody poorservice notgoodenough
2665,positive,great land in denver next rapid city snow start to fallflorida everglades be a faint sunburn awayhere come the cold
2666,positive,look forward to fly with you guy a well
2667,negative,how be it that my flight 3367 can arrive early and be delayed due to no gate be available we be now 20 min late flight on tarmac
2668,negative,my flight land 50 min but we be be told to stay on the plane have not pull up to the gate have little to no information
2669,neutral,i have such a love hate relationship with you some day you be good the others you be so awful it sadden
2670,negative,have well customer service at john wayne airport
2671,positive,bag be finally deliver and intact thanks for your assistance
2672,negative,passenger seat crew ready wheresthepilot flt1088 from ord hope he be not at the
2673,negative,book 11 tix 1 month ago and now it about 157 cheaper and customer service be useless what be up with that
2674,negative,be ua938 still take off at 905pm I be stuck on the tarmac on ua3462 wait to get in
2675,negative,you be right good you caught the mechanical failure too bad there be no but ok
2676,negative,we be sit in ua1088 get delayed because the cannot find captain ridiculous united
2677,negative,truly the bad day of fly i have ever experienced
2678,positive,you guy make my day treat me well thank you
2679,negative,stuck in houston because you cannot seem to get a plane to the destination on time in perfect fly condition
2680,negative,you phone customer service team be bad think it be time for me to consider switch airline
2681,negative,how much longer united be on the phone for over an hour to straighten out a star alliance upgrade
2682,neutral,how can i verify if wheelchair assistance have be request for my next flight
2683,neutral,i left my dildo on the plane be there any way for me to get it back
2684,positive,do not know her last name but karen at your call center be terrific friendly helpful terrific representative kudos
2685,negative,I be cancel flight my mileageplus card and i will never do business with you again you clearly do not care about your customer
2686,positive,thank you good service safe flight 12 way home
2687,negative,why even ask me to dm you and offer help if you cannot do anything terriblecustomerservice unitedairlines
2688,negative,yes and that be appreciate but misinformation damage credibility you may want to have someone observe in newark fwiw
2689,negative,you guy suck
2690,negative,never fails fly fc order ravioli get tell the fa she say you should of told me other people want chickenidiot
2691,negative,second time fly into houston and 45 min wait for luggage at baggage typical still wait
2692,positive,flight go great and improve my view of your airline cheer flight attendents on ua1022 deserve a raise
2693,negative,again horrible service again attitude when ask for information again you make me not want to fly united ever platinummember
2694,negative,and now your rep just hung up on me after over 35 min on hold because i ask for a supervisor I be furious right now
2695,neutral,i have a question about my interview process i have only one interview but be the last person be that good or bad
2696,negative,thank you for 7 hr at terminal d in dulles airport
2697,negative,go bankrupt again and transfer all of your asset to luv that would be great
2698,neutral,land in chicago saw it once we be already airborne
2699,negative,marcus help me good agent could not fix it flight be list on website but unavailableto book false advertising much
2700,positive,i may not hit any new status this year but ive several time this year and have try to book with yall every time
2701,negative,unsmiling rep told u hotel shuttle come like every 15 minute breezy 30 min late flightr we be take a cab you go to reimburse
2702,negative,if someone miss his connect flight because of the airline and it be the last flight of the day how will you fix it
2703,negative,yes i need plenty of assistance but receive none
2704,negative,not tonight we get a hotel and after 14hrs of travel and still not reach our destination we be disappointed thanks
2705,negative,thank you for the reply i email your customer care department about my experience
2706,negative,how can i file a claim when your agent will not let me speak to a supervisor my claim number be expire because you will not find my bag
2707,neutral,it be do if you do something to make up for it I will tweet that too
2708,negative,i have one interview i be the last person what do that mean
2709,negative,i have with you 10 time in the last 13 day 8 out of 10 flight have be delayed huge mistake on my do not fly united
2710,positive,i just receive notification of inflight wifi for ua863 from to amaze
2711,negative,yes but take two day to get bag deliver miss a full day skiing because of this
2712,positive,give her the recognition she deserves
2713,positive,she be the of person that can make a customer day i fly 100 time a year she be one of the top flight attendant I have have
2714,negative,make me remove 1 pound from my checked bag they would charge me 200 loyal flier for 10 year time for change
2715,negative,be sit on this plane 315 unreal when will my 2 day nightmare end
2716,positive,you suck you be the best
2717,negative,can you let u out of the gate now ua1157
2718,negative,on top of no free tv on the intl leg now im sit on the tarmac in houston 70 min past departure w another hr to go
2719,negative,dtv doesnt work pilot late flight wont let 10yr old fly next 2 me and i paid 4 an upgrade unitedsucks
2720,negative,your loyalty team flip me off via phone but thanks maybe google loyalty and get back to me lol
2721,negative,this be your job do not give me the safety spin this be the same plane that broke on the original flight out unitedsucks
2722,positive,thank you
2723,negative,if you mean beyond opaque maintenance issue yes that would be basic in customer service which your ewr staff cannot manage
2724,negative,ted we do not care about you nor the mileage card you pay a lot for bye bye united
2725,neutral,terminal 1 gate b3 flt 1299 then take her to terminal 5 gate m13 swiss air lx009
2726,negative,sad that you do not think it be to resolve your client face team that behaves disgraceful
2727,negative,help my girlfriend amy lloyd be go to miss our flt to zurich bc of your fault she need a golf cart to her at ord 1
2728,negative,epicfail from a former gate agent in pia he walk away and quit a responsible pia agent save the day
2729,negative,that be the problem we be be told the aircraft be on it way
2730,negative,will do thx be sit on plane now for 25 hr and now we have to refuel i cannot even make this stuff up
2731,negative,do you know how to use twitter bro your terminal look like it be in bosnia here another pic
2732,negative,you be by far the bad airline 4 plane delay on 1 round flight how be that possible
2733,negative,i take care of it myself have to rent a car and drive 3 hour to retrieve my belonging due to united error
2734,negative,now I will probably miss my next connection
2735,neutral,any chance you will ever do cpu on your jfklax like
2736,negative,you may think I be joking or blowing it out of proportion but the last 8 united flight have be delayed or significantly late flight
2737,negative,not the case now delayed due to mechanical issue with no update on departure time just cancel flight the goddamn flight so i go delta
2738,negative,2 day and 3 plane with mechanical issue now over 15 hr late flight sit on this plane this be insane
2739,negative,i do not get a message from you I will resend number
2740,neutral,yes fill out the form last year do not have case number handy guess I be not cut out for the historical society afterall
2741,negative,what idiot design your seat armrest tv remote rest elbow do not mix seatmate keep change channel blasting volume
2742,negative,you can bump me up to group 3 so i will not be force to check my bag and wait 30 minute at lga
2743,negative,listen learn do this remove your pqd requirement it be insult ha
2744,positive,thank you for the reply i will fill out the form and submit it a request good to know you be pay attention
2745,positive,gate agent alavera be amaze
2746,negative,i need youto be a well airline lol
2747,negative,your agent force me to check a carry on bag when i receive my bag i found your crew have steal from me u lose my business
2748,positive,win top mark for customer service via twitter they turn a poor experience into a positive many thanks for the effort
2749,negative,reallyyou charge me 25 to check a bag and then you put it on a different flightstill do not have my bag
2750,negative,why have not you a travel advisory for iad for tomorrow
2751,negative,cross country flight sfobos no wifi not even a can of soda and this quality inflight entertainment sad
2752,negative,be really get horrible so much for tuck in my kid tonight delta transfer milesstatus right
2753,neutral,i just have an interview how long do it take before you hear back
2754,negative,i think problem should be decide on your end especially if you would like me to continue fly your airline
2755,negative,roundtrip to on i think i will that be another 1k you just lose moneynotspentonunited unfriendlyskies
2756,negative,already flight book problem next week on thanks for make the choice so easy disunite unfriendlyskies servicefail
2757,positive,flight experience r often frustrate but 2day on ua5184 from chi to wpg flight attendant april be amaze she be 1 of the best
2758,negative,also group 5 be total b
2759,negative,do not ask me to be patient without offering something in return
2760,negative,just like clockwork friday afternoon flight from la to den run late flight why do this seem to happen so consistently keepit100
2761,negative,i will on or all of which will be get my business unfriendlyskies unbelievable
2762,positive,free booze for the bach party would make it well ordmsy delayed again we will enjoy either way thanks
2763,neutral,i have their name boarding pas be in there too i think they might really need this any idea
2764,neutral,sit in seat 10d on a flight back from vega to chicago someone left a folder that look in the seat 12
2765,negative,incompetentrude service today miss my connect flight then the customer service desk be terrible to me really upset w untd
2766,negative,terrible experience on ua415 on 17th 1st exit row in economy have zero legroom have same row book for return but cannot change
2767,negative,55 hour late flightr I have be in transit for a total of twelve hoursplease just change the plane on flight 600 this be ridiculous sfo
2768,positive,all good man it be not your fault that plane be have maintenance issue
2769,negative,this delay of flight ua4636 have be painful i sure hope it do not cause me or my luggage to miss my ua82 flight to new delhi
2770,negative,yes but unbelievable should have a free fare lock
2771,positive,your puppy be so cute we look forward to have of you on board thanks for the five ey
2772,negative,bad airline beware they do not maintain there plain be on the runway the past 4 hour
2773,negative,it should be free like other airline again it not 1997 anymore
2774,negative,exist reservation be fine i be talk about no longer have an 0600 cmhord option 0638 get me in too late flight
2775,neutral,please tell me I be go to make my connect flight from to stl southbendinwhere
2776,neutral,lindsay and darn terrible memory on my i know they be head back to iad and then tonight
2777,negative,i know im sure you hear it all the time dont like the new seat im a small guy 5 6 and i feel the new plane be tight
2778,negative,how about after 25 hr at ord another 5 on the tarmac refuse to move me to an earlier flight you make it up to me iflyalot b
2779,neutral,ok thanks for the clarification
2780,positive,when be you come back to you have a huge east customer base due to sfo and i miss you
2781,negative,also do not help me I be a very flier and united premiere gold apparently that mean nothing
2782,negative,delayed another hour
2783,neutral,a a million mile flier I be embarrass to ask how long ago his launch
2784,negative,cannot beat the storm out of town if you wait to issue the policy until too late flight nw issue storm warn already
2785,negative,do it again i will now miss one or probably our event fail
2786,negative,do not need your apology need my bag take 56 minute from land to get it unacceptable
2787,negative,add wifi entertainment and the old seat and ill come back
2788,negative,so we fly into sfo and honululu get push back 35 hour and now it look like more delay i beg of you plz this out soon
2789,positive,thanks i will my conection emoticonsmiley
2790,negative,super lame that you charge 8 for tv on an international flight to the u it isnt 1997
2791,negative,a for volunteer to give up seat people do now we sit for 25 minute on plane wait 4 them to add more people
2792,negative,4016 529557 you go to transfer my car to me too because it be at the airport you could not get me too
2793,negative,next time i will not volunteer to let you gate check my bag for space since you obviously cannot deliver it in a timely manner
2794,negative,I be sorry it be cold in chicago but i do not see why that mean it take 45 minute for my priority bag to show up on the carousel
2795,neutral,how long do it take for customer feedback to respond to a complaint
2796,negative,you be make me miss big snow in montana not cool
2797,negative,you might be the only airline not offering waiverskeep up the good fight
2798,neutral,or frontier
2799,positive,thank you any help be appreciate
2800,neutral,go through this on similar flight last week
2801,negative,i know where to check my complaint be my ticket say dinner when i book now it be change to refreshment where be my refund
2802,negative,bag mia since wednesday still no word where it be or if will ever see it again lostluggage frustrate
2803,neutral,assume those benefit only apply to my own reservation any way my partner on diff re can use them can we combine re
2804,neutral,or u air
2805,negative,we cannot all be american airline i suppose
2806,negative,love to report how horrible this flight be to your team let u make it worseas they get to my seatout of all snack
2807,neutral,uhuhgroup try to get out of nashville and into iad today instead of tomorrowwhy be preemptive though
2808,positive,thanks for move my dad on to my my flight you help make his birthday start with friendlyfriday awesomeness 4 paw up
2809,negative,you need to get it together 3 of 4 flight cancel flightled strand with no car and my baggage be lose you never get it right
2810,neutral,blood service make your appt today 18009174929
2811,negative,it be worth say that if you litter in singapore you get can but there be say
2812,neutral,not waive change fee with the snow storm come tomorrow iad be under winter storm warn tomorrow already what be up
2813,neutral,yes I will be send an email to customer service today
2814,negative,I be fully aware it be just that your be harsh toward the client especially since you be go to resell my seat for more
2815,negative,why i will not check my carry on watch a handler throw this bag miss the conveyer belt sat there 10 min
2816,negative,why so i can waste more of time on this airline to get an automate message disappoint a always
2817,negative,this mean within one week i will have file 2 compensation complaint to your website
2818,negative,not 100 sure however my ticket include one checked bag therefore this charge be extra and completely unanticipated
2819,positive,we will follow up with our maintenance team thanks for the tweet kp thank you united care
2820,negative,disappointed confirm reservation delayed and your cust service staff be not helpful in find an alternate solution
2821,neutral,this be for a checkin luggage employee told me not to include in the dimension
2822,neutral,dmangencom
2823,neutral,if i have a ticket refund which i purchase for my brother to flycould i then use the refund credit for me to fly respond
2824,negative,this be besides the fact that one week ago you delayed me by 18 hour i be not impressed at all
2825,negative,it my one and only checked bag which be checked to edinburgh however i be be charge randomly from dc to newark
2826,negative,with the purchase of my ticket i be entitle to check in 1 bag however i be be charge an extra 25 dollar for domestic transport
2827,negative,thank u for the 1hr delay then boarding u onto a plane that reek of vomit flight attendant indicate it be not clean properly
2828,negative,i have never be so gross out in my life what a disappointmentyet againflying with you
2829,neutral,need to add service dog to my itinerary for tomorrow
2830,negative,thanks for delay my flight for an hour and then boarding u onto a flight that reek of vomit because it be not clean properly
2831,negative,just land might want to check flight 304 plane from houston that sound be during takeoff land
2832,negative,i cannot even look at you right now I will call you when I be not so
2833,neutral,dm ed u the request num
2834,negative,i request an online refund option they deny say the ticket be use hope they understand the problem from your
2835,negative,nope still sit at the gate
2836,neutral,bagage which i take to in the cabin i dont need to checkincorrect
2837,neutral,exactly
2838,negative,the passenger wait inside the flight on the runway and return back in o gate that should not count a a valid journey
2839,negative,yes it be partly use the delewr be use the return flight be cancel flightled due to technical in
2840,positive,thank you appreciate the response
2841,neutral,old school ride home to lax from houston flyingretro
2842,negative,i appreciate you look can you compensate me on anything for my trouble still have not take off for a 10emoticonsmiley0 be flight
2843,neutral,be gjqx6j husband be a587cw cannot dm for some reason
2844,positive,thank you thank you thank you for contact me thank you for the offer of a 1000 travel certificate unitedairlines
2845,negative,another terrible experience with united discrimination delay and no help from customer service united notimpressed
2846,neutral,hi we be fly into iad tomorrow even do you expect delay or cancel with the snow storm
2847,negative,if a business decision be make that inconvenience and possibly cause lose customer be it a good business decision cranky
2848,positive,sent a dm just now thanks i be incredibly happy the fast response i get via twitter than via customer care thank you
2849,negative,please update on ua 791 this flight have be strand by united with no information from the crew on the plane
2850,negative,thanks for me how much easy it be to fly southwest get more agent at sfo 25
2851,positive,perfect that work thank you
2852,negative,that be still one day over my visa expire on june 9 which be why i book my flight on that day
2853,neutral,followback so i can dm plz
2854,negative,miaewr 384 excellent crew ewriad 3589 no crew to load bag wait w door open freeze 20 min past departure
2855,negative,your customer service be crap
2856,negative,thanks for have ground crew that be surprised when flight arrive beingsuckontarmacsucks
2857,positive,mechanical issue look like they get it fix thanks for your concern
2858,negative,ua1023 sit on tarmac at ord when there be visibly gate open reassign our gate
2859,positive,thanks
2860,negative,usually an issue with express our of sfo positive note mainline p be enjoyable
2861,negative,no sato rebooked me just upset that my travel have to fix this and you could not
2862,negative,kind of unnerve to watch the guy deice your plane text on his phone the whole time
2863,negative,refreshes my browser right before checkouterror load message ticket price increase 358 in a matter of sec dounotwantmybusiness
2864,negative,why be united vote every year a one of the bad airline do enjoy that title you should give jedediah free pass
2865,negative,i think you should board from the back of the plane whatstheholdup chitocle
2866,positive,on the plane but thanks maybe do not let so many people check in by themselves teem with moron
2867,negative,thanksseat make for a 6 year old and a broken tv 20 flightsyearmy last on your airline
2868,neutral,ua6357 need deice stat we have wait our turn
2869,neutral,yes I have board this way many time have never have to show my pas on the tarmac multiple time path be rail off only 1 way
2870,negative,fair enough united everybody be do the best they can although that slight delay be turn into a cancel flightlation
2871,negative,still wait on our bag never get deliver yesterday cannot reach a real person for help send dm with ref number
2872,negative,bad flight experience I have ever have will never ever fly your airline again
2873,negative,why do i have to go thru the detail of the flight i want w the record to then repeat all when a real person get on the line
2874,positive,look like they come through thanks again for the help
2875,neutral,anything yet jj
2876,negative,why would a person take hour and hour of wait time just to tell a lie
2877,negative,dm not work ua 307
2878,negative,the refund team be far from customer care courtesy they need training on work ethic so it be like sir u r lie how can i help
2879,negative,splitting up my flight quadruple the price
2880,negative,contd i be be told that i be ask for a refund on a use ticket on a flight that get cancel flightled how be the ticket use
2881,negative,after several trial and several hour of wait on phone to contact customer care to get my refund all i get be cold shoulder
2882,negative,i book and paid for a flight to get me to denver at a specific time for a meeting you fail it be not cause by weather
2883,positive,since when do you get so good again 4 transcontinental flight in 72h what a pleasurerelief you be
2884,negative,what i do not understand be not flight that i paid for get cancel flight and the best you can do be next available flight
2885,negative,flight be awful only one lavatory function and people line up bumping because cannot use 1st class bathroom ridiculous
2886,neutral,be the current on board food menu available anywhere online
2887,neutral,airline be change it mileageplus program winner and loser
2888,negative,actually we be not still park here
2889,neutral,can i put sun in my carry on rt right now 0 would be a heat wave so enjoy the warmth can you bring some home jj
2890,positive,thanks
2891,positive,thanks for prompt response another hour to enjoy vacation a in the app a it still show 255
2892,negative,why can i only apply one travel certificate per itinerary even when i have multiple flight
2893,positive,appreciate the sentiment and you be able to get me off the groundstill miss connection
2894,negative,i log in view reservation try view specific reservation take me back to page
2895,neutral,it just go round round it be be go on for week
2896,positive,thank you for your prompt assistance
2897,negative,3 time my flight have be delayed and i miss my next flight this time you have lose my baggage no clean clothes 337 flight thx
2898,neutral,i look on the email chain and there be not one
2899,negative,why the hell do my mile expire be really look forward to accrue enough for a free flight in 10 year
2900,positive,thanks for more timely update
2901,neutral,do you also want the name right to my first child so i can fly home and visit with my mother and avoid more winter depression
2902,negative,I be familiar with the procedure it would not be the first time unitedairlines lose one of my bag unhappytraveler
2903,negative,i get that but do it by give inaccuratemisleading info do not seem like a great way to do it hopethegearmakesitintact
2904,negative,a regional jet take an hour
2905,positive,baggage check in and in flight crew the friendliest ever flight417 ogg to lax
2906,neutral,thanks that mean i have 30 minute to make my international connection to hkg
2907,neutral,kp i be not travel we try to cheer up m bila
2908,negative,you just try to charge 750 for a 539 flight when i try to make a change over the phone not include 200 change fee wtf
2909,positive,thank you for your offer all out emoticonsmiley
2910,neutral,workin on it wait on him to reply
2911,negative,flight 395 roll delay of 1 hour 42 minute
2912,negative,i believe just customer service at last post he be at narita in tokyo they sent him to a motel to rest say standby maybe 2days
2913,positive,i think this be the best first class i have ever gotten denver to lax and it be wonderful
2914,positive,of course not the inflight crew be great
2915,positive,well lo
2916,positive,the pilot of ua475 just land this plane like he be gently place u into a pile of whip cream smoothest land ever
2917,negative,your website be a complete joke when use safari
2918,negative,the new seat on the canadaair regional jet just plain suck
2919,neutral,I be in another country please cancel flight my reservation I have book through swiss air
2920,negative,airline abuse your expensive video equipment and overcharge you for the privilege via
2921,neutral,found the flight on
2922,negative,that be the reply lol hop that at least the new plane be maintain before the flight
2923,negative,do somebody say flight upgrade
2924,neutral,dm sent
2925,negative,how be it tripitpro have delayed dept time and 2hours late flightr i hear the same from you just curious
2926,negative,i can tell you your airline have lose and my family business this day and age message through twitter travel fast
2927,negative,try to reach him for the number at last they have him on standbye and give him 1 meal voucher for a potential 2 day standbye
2928,negative,this be very disappoint this be about customer service
2929,negative,board 6373 on time deplane and now 100 minute delay no transparency during cannot wait to give up my gold status for aa
2930,negative,my wife sarah stocker do also call but could not connect me to customer service
2931,negative,once again i be victim to the scam that be your shit customer service this time the agent hung up on me wtf do you your staff
2932,negative,flight 1219 my frustration boil over after deal with attendant her attitude be ridiculous
2933,negative,nice to know that 3 hour of my time be worth 799 free directtv for everyone ever hear of preventative maintenance
2934,negative,that may be true however after 4 week matter be still unresolved and i can not get through to a supervisor or manager to help
2935,negative,obviously no one know a darn thing around here what be we to do if this do not get resolve
2936,neutral,so go forward i should not be flight book problem star alliance flight through the united app
2937,negative,i have those notification yet the staff on board say that be not and they have no departure time
2938,negative,I be not know if the seat be actually narrower than other seat but they feel like it or maybe I be extra bloat
2939,negative,dm sent this lack if customer service be get ridiculous
2940,negative,delayed go home again get really tire of delay
2941,positive,a big thanks to mn and kn or clarify the united domestic world to me
2942,negative,uh i book it through the ua website why the price change
2943,negative,I be rebooked get home 4 hour late flightr then plan what be the chance I will ever see my bag again unhappytraveler
2944,negative,united club team be a get me a seat late flightr still not sure why a last min ual cancel flightlation cost me yet overbooked folk get
2945,negative,will flight 5559 to yyc be free food when we be allow back on board after the broken lightbulb
2946,negative,i be not look for the fare to be return on the companion flight do not understand why an additional 200 fee be necessary
2947,positive,thank you so much that help a ton whoever be on this twitter acct today deserves a handshake and a hot chocolate flight problemsolvers
2948,neutral,i left headphone in 2a on ua4689 from yhzewr it be a long shot to see them again but worth a tweet
2949,neutral,129 thousand fan of be ask you to give her your utmost effort to get her a safe flight with her baggage soon
2950,positive,cannot wait 787
2951,negative,flight 5187 to be specific the last two be probably 30 apart and within sight of each other
2952,positive,love be told you would issue a refund when you could not get u out of the way of a hurricane to have it deny
2953,negative,without baggage for 5 day and cannot get an update from houston airport since monday bad service ever
2954,negative,yes to three different checker the walk to the plane overkill
2955,negative,might have to go with card instead ty for response though
2956,neutral,please dm detail we would like to help if you need assistance kp another airline issue
2957,negative,or I be sure her business will go else where for airline travel her name be kathryn sotelo
2958,neutral,please arrange someone at the arrive gate of flight 5957 to chicago for either a refund or first class upgrade
2959,negative,make to check in my carry on from flight 1449 pbi to newark plane luggage stow not full u r cost me time money aggravation
2960,negative,i have no way to contact her while she be in flight this do not work for me her father be about to pas and be head to denver
2961,negative,we be on two more flight today let u hope the do not get the same treatment
2962,positive,thnx
2963,negative,please help regard pnr a3zz0f why be i now waitlisted for a flight
2964,neutral,just email jim compton and jeff smisek so hopefully you pay attention now
2965,negative,i hope you have a solution or insurance to cover this issue
2966,negative,customer service have no solution and now we might miss a show because of them
2967,negative,deserves to go bankrupt just delayed an outbound flight with no info on the connect flight that we be go to miss
2968,negative,flt 3444 delayed because of maintenance that be fix but cannot board because flight crew do not stay in boarding fail
2969,negative,not anymore finally be ticket 5 min before takeoff not sure why the confusion with a fullfare gsa ticket
2970,neutral,do mile earn with explorer card count toward mile
2971,negative,yes but they still do not know where it be I have be told it might be on a flight but now no one can confirm it
2972,neutral,what do i do if something be miss from my checked baggage
2973,negative,wind chill in ithica 17 and for the trouble of lose my clothes they give me a tshirt I will burn it for warmth united
2974,positive,aw thanks for the kind word totally make these extra 6 hour sit in an airport soooo much well
2975,neutral,frontier be currently offering their weather exception for this weekend when be united
2976,negative,i will be call customer service 2 delayed flight today now luggage misplace a disaster the board
2977,negative,crew have be notify passenger move but water not fix now on tarmac two hour
2978,negative,that link be not helpful a it do not put me in touch with management
2979,positive,a u might imagine this former pilot be touch by the gesture please let the fo know keepingtraditionsalive
2980,negative,delayed to ord ran to gate 1 min b4 connection door close no one around ignore by 1st agent 2nd super rude thanksunited
2981,negative,i guess the kat look tasty not go near that sandwich
2982,negative,bad head to laguardia delayed why be the the size of a mouse pad and the overhead the size on my
2983,negative,now 1558 from iah to ewr have broken entertainment system and no wifi despite info on app
2984,negative,your customer service be terrible
2985,neutral,do
2986,negative,please send help asap to on flight 5957 to chicago seat 9c airline
2987,negative,define appreciate i doubt the bad major airline in the usa act on much feedback
2988,negative,yea a refund your airline ruin our
2989,positive,just sent thank you
2990,negative,that be wonderful unfortunately do not help on this 4 hr flight between to major u city disappointed
2991,negative,thanks for delay our flight for an hour miss our connect flight and terrible customer service neveragain vacation
2992,negative,get rebooked on aa one question though do you automatically refund the check baggage fee for flight that be cancel flightled
2993,negative,it be all good your 1k team have be nothing of amaze with everything
2994,negative,new flight have me at the window kind of ticked off i pick aisle seat only because i hate window seat annoyed epicfail
2995,positive,good fly united businessfirst
2996,negative,nope have to rebook through houston so i could get to amarillo before 11pm stuck in sfo for four hour
2997,positive,thanks i make it
2998,neutral,past
2999,positive,thanks just dmed hn
3000,negative,be a money suck airline with terrible terrible customer service
3001,negative,be you aware your airbus fleet suck I have rather fly a c130 full of rubber dog shit
3002,neutral,will you be issue an exception policy for denver for this weekend
3003,neutral,i need a breakdown of what the international surcharge on my flight cover please help
3004,negative,your staff be tell customer to try other carrier
3005,negative,could not have possibly mess up our anymore than they do thanks for be such a terrible airline disappointed
3006,negative,no wifi on ua688 to chicago 2015 that be all p this tech intro video be a joke epicfail
3007,neutral,flight on 223 thx
3008,neutral,base on suggestion from other passenger i have a rental car on standby for 11emoticonsmiley0 one way or another will be leave then
